,EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,RM297,18,18-25,Yes,Travel_Rarely,230,Research & Development,3,Bachelor,Life Sciences,1,405,High,Male,54,High,1,Laboratory Technician,High,Single,1420,Upto 5k,25233,1,Y,No,13,Better,High,80,0,0,2,Better,0,0,0,0.0
1,RM302,18,18-25,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,1,411,Very High,Female,69,Medium,1,Sales Representative,High,Single,1200,Upto 5k,9724,1,Y,No,12,Better,Low,80,0,0,2,Better,0,0,0,0.0
2,RM458,18,18-25,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,1,614,Medium,Male,69,High,1,Sales Representative,Medium,Single,1878,Upto 5k,8059,1,Y,Yes,14,Better,Very High,80,0,0,3,Better,0,0,0,0.0
3,RM728,18,18-25,No,Non-Travel,287,Research & Development,5,College,Life Sciences,1,1012,Medium,Male,73,High,1,Research Scientist,Very High,Single,1051,Upto 5k,13493,1,Y,No,15,Better,Very High,80,0,0,2,Better,0,0,0,0.0
4,RM829,18,18-25,Yes,Non-Travel,247,Research & Development,8,Below College,Medical,1,1156,High,Male,80,High,1,Laboratory Technician,High,Single,1904,Upto 5k,13556,1,Y,No,12,Better,Very High,80,0,0,0,Better,0,0,0,0.0
5,RM973,18,18-25,No,Non-Travel,1124,Research & Development,1,Bachelor,Life Sciences,1,1368,Very High,Female,97,High,1,Laboratory Technician,Very High,Single,1611,Upto 5k,19305,1,Y,No,15,Better,High,80,0,0,5,Best,0,0,0,0.0
6,RM1154,18,18-25,Yes,Travel_Frequently,544,Sales,3,College,Medical,1,1624,Medium,Female,70,High,1,Sales Representative,Very High,Single,1569,Upto 5k,18420,1,Y,Yes,12,Better,High,80,0,0,2,Best,0,0,0,0.0
7,RM1312,18,18-25,No,Non-Travel,1431,Research & Development,14,Bachelor,Medical,1,1839,Medium,Female,33,High,1,Research Scientist,High,Single,1514,Upto 5k,8018,1,Y,No,16,Better,High,80,0,0,4,Bad,0,0,0,0.0
8,RM128,19,18-25,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,1,167,Very High,Male,50,High,1,Sales Representative,High,Single,1675,Upto 5k,26820,1,Y,Yes,19,Better,Very High,80,0,0,2,Good,0,0,0,0.0
9,RM150,19,18-25,No,Travel_Rarely,1181,Research & Development,3,Below College,Medical,1,201,Medium,Female,79,High,1,Laboratory Technician,Medium,Single,1483,Upto 5k,16102,1,Y,No,14,Better,Very High,80,0,1,3,Better,1,0,0,0.0
10,RM172,19,18-25,Yes,Travel_Frequently,602,Sales,1,Below College,Technical Degree,1,235,High,Female,100,Low,1,Sales Representative,Low,Single,2325,Upto 5k,20989,0,Y,No,21,Best,Low,80,0,1,5,Best,0,0,0,0.0
11,RM178,19,18-25,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,1,243,Medium,Male,47,Medium,1,Laboratory Technician,Very High,Single,1102,Upto 5k,9241,1,Y,No,22,Best,High,80,0,1,3,Good,1,0,1,0.0
12,RM423,19,18-25,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,1,566,Low,Male,52,Medium,1,Human Resources,Very High,Single,2564,Upto 5k,18437,1,Y,No,12,Better,High,80,0,1,3,Best,1,0,0,0.0
13,RM689,19,18-25,Yes,Travel_Rarely,419,Sales,21,Bachelor,Other,1,959,Very High,Male,37,Medium,1,Sales Representative,Medium,Single,2121,Upto 5k,9947,1,Y,Yes,13,Better,Medium,80,0,1,3,Best,1,0,0,0.0
14,RM854,19,18-25,No,Travel_Rarely,645,Research & Development,9,College,Life Sciences,1,1193,High,Male,54,High,1,Research Scientist,Low,Single,2552,Upto 5k,7172,1,Y,No,25,Best,High,80,0,1,4,Better,1,1,0,0.0
15,RM893,19,18-25,Yes,Non-Travel,504,Research & Development,10,Bachelor,Medical,1,1248,Low,Female,96,Medium,1,Research Scientist,Medium,Single,1859,Upto 5k,6148,1,Y,Yes,25,Best,Medium,80,0,1,2,Best,1,1,0,0.0
16,RM910,19,18-25,No,Travel_Rarely,265,Research & Development,25,Bachelor,Life Sciences,1,1269,Medium,Female,57,Very High,1,Research Scientist,Very High,Single,2994,Upto 5k,21221,1,Y,Yes,12,Better,Very High,80,0,1,2,Better,1,0,0,1.0
17,RM103,20,18-25,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,1,137,Very High,Female,66,Medium,1,Laboratory Technician,Very High,Single,2926,Upto 5k,19783,1,Y,Yes,18,Better,Medium,80,0,1,5,Better,1,0,1,0.0
18,RM488,20,18-25,No,Travel_Rarely,959,Research & Development,1,Bachelor,Life Sciences,1,657,Very High,Female,83,Medium,1,Research Scientist,Medium,Single,2836,Upto 5k,11757,1,Y,No,13,Better,Very High,80,0,1,0,Best,1,0,0,0.0
19,RM514,20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,Below College,Medical,1,701,Very High,Male,32,High,1,Research Scientist,High,Single,1009,Upto 5k,26999,1,Y,Yes,11,Better,Very High,80,0,1,5,Better,1,0,1,1.0
20,RM663,20,18-25,Yes,Travel_Rarely,500,Sales,2,Bachelor,Medical,1,922,High,Female,49,Medium,1,Sales Representative,High,Single,2044,Upto 5k,22052,1,Y,No,13,Better,Very High,80,0,2,3,Good,2,2,0,2.0
21,RM690,20,18-25,Yes,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,1,960,Low,Male,84,High,1,Laboratory Technician,Low,Single,2973,Upto 5k,13008,1,Y,No,19,Better,Medium,80,0,1,2,Better,1,0,0,0.0
22,RM732,20,18-25,Yes,Travel_Rarely,1097,Research & Development,11,Bachelor,Medical,1,1016,Very High,Female,98,Medium,1,Research Scientist,Low,Single,2600,Upto 5k,18275,1,Y,Yes,15,Better,Low,80,0,1,2,Better,1,0,0,0.0
